allocation_id,allocation_group_id,payment_doc,payment_date,payment_amount,slice_amount,target_doc,target_date,lpg_target_amount,allocated_amount,variance,allocation_type,confidence,review_required,batch_id,erp_stat
AL-0144,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,11730,13101,2025-08-05,11730,11730,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0151,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,16215,13235,2025-10-10,16215,16215,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0152,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,16905,13335,2025-10-10,16905,16905,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0153,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,10350,13500,2025-10-10,10350,10350,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0156,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,10350,13500,2025-10-10,10350,10350,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0154,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,7245,13587,2025-10-10,7245,7245,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0159,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,9315,13716,2025-10-23,9315,9315,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0166,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,15870,13874,2025-11-24,15870,15870,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0170,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,15180,14034,2026-02-09,15180,15180,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0169,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,22770,14237,2026-01-26,22770,22770,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0125,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,12226.63,41747,2025-03-26,32064.13,12226.63,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0127,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,27899.34,43112,2025-05-16,27899.34,27899.34,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0128,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,24433.21,43294,2025-05-23,24433.21,24433.21,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0130,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,27762.26,43909,2025-06-13,27762.26,27762.26,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0132,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,27762.26,44235,2025-06-26,27762.26,27762.26,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0134,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,27762.26,44542,2025-07-05,27762.26,27762.26,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0135,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,7687.52,44731,2025-07-10,7687.52,7687.52,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0137,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,7687.52,44816,2025-07-14,7687.52,7687.52,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0140,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,22515.01,44967,2025-07-19,22515.01,22515.01,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0142,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,3768.78,45148,2025-07-26,3768.78,3768.78,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0143,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,20104.97,45302,2025-08-01,20104.97,20104.97,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0145,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,25831.19,45666,2025-08-15,25831.19,25831.19,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0146,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,27559.27,45986,2025-08-29,27559.27,27559.27,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0147,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,32866.71,46470,2025-09-17,32866.71,32866.71,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0148,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,11091.26,46762,2025-09-30,11091.26,11091.26,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0149,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,11000.44,46857,2025-10-03,11000.44,11000.44,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0150,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,9000.36,46858,2025-10-03,9000.36,9000.36,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0155,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,11000.44,47076,2025-10-10,11000.44,11000.44,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0157,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,3000.12,47176,2025-10-18,3000.12,3000.12,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0158,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,36631.64,47196,2025-10-20,36631.64,36631.64,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0161,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,7000.28,47297,2025-10-24,7000.28,7000.28,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0162,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,11000.44,47523,2025-11-04,11000.44,11000.44,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0163,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,5999.55,47584,2025-11-10,5999.55,5999.55,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0164,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,24390.86,47714,2025-11-17,24390.86,24390.86,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0165,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,5499.99,47880,2025-11-22,5499.99,5499.99,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0167,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,24336.02,48160,2025-12-08,24336.02,24336.02,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0168,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,35150.03,48687,2026-01-09,35150.03,35150.03,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2026-STAT-123,STAT 123
