iso,layer,entry,docno,target_doc,amount,balance,batch_id,ref
2025-01-31,B,Remit Cash,36467,39022,-19871.52,2117.13,BATCH-2025-01-31,Invoice · STAT 110
2025-01-31,B,Remit Cash,36467,11475,15473.25,17590.38,BATCH-2025-01-31,Crd Note · STAT 110
2025-01-31,C,Discount Journal,DJ-BATCH-2025-01-31,DJ-BATCH-2025-01-31,-112.78,17477.6,BATCH-2025-01-31,Model B pro forma — Dr 240000 / Cr TWK002
2025-02-05,A,Crd Note,11821,11821,-13282.5,4195.1,,DN#12753 · TWK AGRI PTY LTD
2025-02-05,A,Invoice,40459,40459,22945.95,27141.05,,DN#12753 · TWK AGRI PTY LTD
2025-02-24,A,Crd Note,11953,11953,-15352.5,11788.55,,DN#12795 · TWK AGRI PTY LTD
2025-02-24,A,Invoice,40950,40950,25457.87,37246.42,,DN#12795 · TWK AGRI PTY LTD
2025-03-26,A,Invoice,41747,41747,32064.13,69310.55,,DN#12826 · TWK AGRI PTY LTD
2025-03-27,A,Crd Note,12131,12131,-19837.5,49473.05,,DN#12826 · TWK AGRI PTY LTD
2025-03-31,B,Remit Cash,37770,39683,-26765.92,22707.13,BATCH-2025-03-31,Invoice · STAT 112
2025-03-31,B,Remit Cash,37770,40081,-15217.83,7489.3,BATCH-2025-03-31,Invoice · STAT 112
2025-03-31,B,Remit Cash,37770,11648,15473.25,22962.55,BATCH-2025-03-31,Crd Note · STAT 112
2025-03-31,B,Remit Cash,37770,11743,10091.25,33053.8,BATCH-2025-03-31,Crd Note · STAT 112
2025-03-31,B,Remit Cash,37770,40459,-22372.3,10681.5,BATCH-2025-03-31,Invoice · STAT 112
2025-03-31,B,Remit Cash,37770,11821,12950.44,23631.94,BATCH-2025-03-31,Crd Note · STAT 112
2025-03-31,B,Remit Cash,37770,40950,-24821.42,-1189.48,BATCH-2025-03-31,Invoice · STAT 112
2025-03-31,B,Remit Cash,37770,11953,14968.69,13779.21,BATCH-2025-03-31,Crd Note · STAT 112
2025-03-31,C,Discount Journal,DJ-BATCH-2025-03-31,DJ-BATCH-2025-03-31,-228.93,13550.28,BATCH-2025-03-31,Model B pro forma — Dr 240000 / Cr TWK002
2025-04-07,A,Crd Note,12207,12207,-20324.3,-6774.02,,DN#10546 · TWK AGRI PTY LTD
2025-04-07,A,Crd Note,12214,12214,-12075,-18849.02,,DN#10546 · TWK AGRI PTY LTD
2025-04-07,A,Crd Note,12215,12215,-1249.77,-20098.79,,DN#12826 · TWK AGRI PTY LTD
2025-04-07,A,Invoice,42045,42045,20324.3,225.51,,DN#10546 · TWK AGRI PTY LTD
2025-04-07,A,Invoice,42050,42050,20133.97,20359.48,,DN#10546 · TWK AGRI PTY LTD
2025-04-23,A,Crd Note,12329,12329,-12592.5,7766.98,,DN#13029-EMPTY · TWK AGRI PTY LTD
2025-04-23,A,Invoice,42468,42468,7713.58,15480.56,,DN#13029 · TWK AGRI PTY LTD
2025-04-23,A,Invoice,42469,42469,12592.5,28073.06,,DN#13029-EMPTY · TWK AGRI PTY LTD
2025-04-23,A,Invoice,42470,42470,1236.86,29309.92,,DN#13030 · TWK AGRI PTY LTD
2025-05-16,A,Crd Note,12494,12494,-10649.34,18660.58,,DN#13234 · TWK AGRI PTY LTD
2025-05-16,A,Crd Note,12502,12502,-17250,1410.58,,DN#13234 · TWK AGRI PTY LTD
2025-05-16,A,Invoice,43111,43111,10649.34,12059.92,,DN#13234 · TWK AGRI PTY LTD
2025-05-16,A,Invoice,43112,43112,27899.34,39959.26,,DN#13234 · TWK AGRI PTY LTD
2025-05-23,A,Invoice,43294,43294,24433.21,64392.47,,DN#12257 · TWK AGRI PTY LTD
2025-05-24,A,Crd Note,12550,12550,-14835,49557.47,,DN#12257 · TWK AGRI PTY LTD
2025-05-31,B,Remit Cash,39080,41747,-19341.56,30215.91,BATCH-2025-05-31,Invoice · STAT 114
2025-05-31,B,Remit Cash,39080,12131,6727.5,36943.41,BATCH-2025-05-31,Crd Note · STAT 114
2025-05-31,B,Remit Cash,39080,12131,12614.06,49557.47,BATCH-2025-05-31,Crd Note · STAT 114
2025-05-31,B,Remit Cash,39080,42050,-19630.62,29926.85,BATCH-2025-05-31,Invoice · STAT 114
2025-05-31,B,Remit Cash,39080,12214,11773.12,41699.97,BATCH-2025-05-31,Crd Note · STAT 114
2025-05-31,B,Remit Cash,39080,12215,1218.53,42918.5,BATCH-2025-05-31,Crd Note · STAT 114
2025-05-31,B,Remit Cash,39080,42468,-7520.74,35397.76,BATCH-2025-05-31,Invoice · STAT 114
2025-05-31,B,Remit Cash,39080,42470,-1205.94,34191.82,BATCH-2025-05-31,Invoice · STAT 114
2025-05-31,C,Discount Journal,DJ-BATCH-2025-05-31,DJ-BATCH-2025-05-31,-393.99,33797.83,BATCH-2025-05-31,Model B pro forma — Dr 240000 / Cr TWK002
2025-06-13,A,Crd Note,12724,12724,-16905,16892.83,,DN#12516 · TWK AGRI PTY LTD
2025-06-13,A,Invoice,43909,43909,27762.26,44655.09,,DN#12516 · TWK AGRI PTY LTD
2025-06-26,A,Crd Note,12825,12825,-17250,27405.09,,DN#12335 · TWK AGRI PTY LTD
2025-06-26,A,Invoice,44235,44235,27762.26,55167.35,,DN#12335 · TWK AGRI PTY LTD
2025-07-05,A,Crd Note,12908,12908,-17250,37917.35,,DN#12620 · TWK AGRI PTY LTD
2025-07-05,A,Invoice,44542,44542,27762.26,65679.61,,DN#12620 · TWK AGRI PTY LTD
2025-07-10,A,Invoice,44731,44731,7687.52,73367.13,,DN#12191 · TWK AGRI PTY LTD
2025-07-12,A,Crd Note,12958,12958,-5175,68192.13,,DN#12191 · TWK AGRI PTY LTD
2025-07-14,A,Crd Note,12982,12982,-5175,63017.13,,DN#12202 · TWK AGRI PTY LTD
2025-07-14,A,Invoice,44816,44816,7687.52,70704.65,,DN#12202 · TWK AGRI PTY LTD
2025-07-19,A,Crd Note,13019,13019,-13972.5,56732.15,,DN#12721 · TWK AGRI PTY LTD
2025-07-19,A,Invoice,44967,44967,22515.01,79247.16,,DN#12721 · TWK AGRI PTY LTD
2025-07-26,A,Crd Note,13057,13057,-7762.5,71484.66,,DN 20009 · TWK AGRI PTY LTD
2025-07-26,A,Invoice,45148,45148,3768.78,75253.44,,ON 375149748-001 · TWK AGRI PTY LTD
2025-07-26,A,Invoice,45149,45149,7762.5,83015.94,,DN 20009 · TWK AGRI PTY LTD
2025-08-01,A,Crd Note,13101,13101,-11730,71285.94,,DN #20125 · TWK AGRI PTY LTD
2025-08-01,A,Invoice,45302,45302,20104.97,91390.91,,DN #20125 · TWK AGRI PTY LTD
2025-08-15,A,Crd Note,13235,13235,-16215,75175.91,,DN#20319 · TWK AGRI PTY LTD
2025-08-15,A,Invoice,45666,45666,25831.19,101007.1,,DN#20319 · TWK AGRI PTY LTD
2025-08-29,A,Crd Note,13335,13335,-16905,84102.1,,DN#20560 · TWK AGRI PTY LTD
2025-08-29,A,Invoice,45986,45986,27559.27,111661.37,,DN#20560 · TWK AGRI PTY LTD
2025-09-17,A,Invoice,46470,46470,32866.71,144528.08,,D/N 21042 · TWK AGRI PTY LTD
2025-09-18,A,Crd Note,13500,13500,-20700,123828.08,,D/N 21042 · TWK AGRI PTY LTD
2025-09-30,A,Invoice,46762,46762,11091.26,134919.34,,DN#21079 · TWK AGRI PTY LTD
2025-10-01,A,Crd Note,13587,13587,-7245,127674.34,,DN#21079 · TWK AGRI PTY LTD
2025-10-20,A,Crd Note,13716,13716,-16215,111459.34,,DN#20197 · TWK AGRI PTY LTD
2025-10-20,A,Invoice,47196,47196,36631.64,148090.98,,DN#20197 · TWK AGRI PTY LTD
2025-11-17,A,Crd Note,13874,13874,-15870,132220.98,,DN#20798 EMPTIES · TWK AGRI PTY LTD
2025-11-17,A,Invoice,47714,47714,24390.86,156611.84,,DN#20798 · TWK AGRI PTY LTD
2025-12-08,A,Invoice,48160,48160,24336.02,180947.86,,DN#20905 · TWK AGRI PTY LTD
2025-12-09,A,Crd Note,14034,14034,-15180,165767.86,,DN#20905 · TWK AGRI PTY LTD
2026-01-09,A,Crd Note,14232,14232,-12380.03,153387.83,,DN-20974 · TWK AGRI PTY LTD
2026-01-09,A,Crd Note,14237,14237,-22770,130617.83,,DN-20975 · TWK AGRI PTY LTD
2026-01-09,A,Invoice,48686,48686,12380.03,142997.86,,DN-20974 · TWK AGRI PTY LTD
2026-01-09,A,Invoice,48687,48687,35150.03,178147.89,,DN-20975 · TWK AGRI PTY LTD
2026-02-12,A,Crd Note,14414,14414,-22195,155952.89,,DN#21535 · TWK AGRI PTY LTD
2026-02-12,A,Invoice,49208,49208,35663.47,191616.36,,DN#21535 · TWK AGRI PTY LTD
2026-02-28,B,Remit Cash,43500,41747,-12226.63,179389.73,BATCH-2026-STAT-123,Invoice · STAT 123
2026-02-28,B,Remit Cash,43500,12502,17250,196639.73,BATCH-2026-STAT-123,Crd Note · STAT 123
2026-02-28,B,Remit Cash,43500,43112,-27899.34,168740.39,BATCH-2026-STAT-123,Invoice · STAT 123
2026-02-28,B,Remit Cash,43500,43294,-24433.21,144307.18,BATCH-2026-STAT-123,Invoice · STAT 123
2026-02-28,B,Remit Cash,43500,12550,14835,159142.18,BATCH-2026-STAT-123,Crd Note · STAT 123
2026-02-28,B,Remit Cash,43500,43909,-27762.26,131379.92,BATCH-2026-STAT-123,Invoice · STAT 123
2026-02-28,B,Remit Cash,43500,12724,16905,148284.92,BATCH-2026-STAT-123,Crd Note · STAT 123
2026-02-28,B,Remit Cash,43500,44235,-27762.26,120522.66,BATCH-2026-STAT-123,Invoice · STAT 123
2026-02-28,B,Remit Cash,43500,12825,17250,137772.66,BATCH-2026-STAT-123,Crd Note · STAT 123
2026-02-28,B,Remit Cash,43500,44542,-27762.26,110010.4,BATCH-2026-STAT-123,Invoice · STAT 123
2026-02-28,B,Remit Cash,43500,44731,-7687.52,102322.88,BATCH-2026-STAT-123,Invoice · STAT 123
2026-02-28,B,Remit Cash,43500,12958,5175,107497.88,BATCH-2026-STAT-123,Crd Note · STAT 123
2026-02-28,B,Remit Cash,43500,44816,-7687.52,99810.36,BATCH-2026-STAT-123,Invoice · STAT 123
2026-02-28,B,Remit Cash,43500,12908,17250,117060.36,BATCH-2026-STAT-123,Crd Note · STAT 123
2026-02-28,B,Remit Cash,43500,12982,5175,122235.36,BATCH-2026-STAT-123,Crd Note · STAT 123
2026-02-28,B,Remit Cash,43500,44967,-22515.01,99720.35,BATCH-2026-STAT-123,Invoice · STAT 123
2026-02-28,B,Remit Cash,43500,13019,13972.5,113692.85,BATCH-2026-STAT-123,Crd Note · STAT 123
2026-02-28,B,Remit Cash,43500,45148,-3768.78,109924.07,BATCH-2026-STAT-123,Invoice · STAT 123
2026-02-28,B,Remit Cash,43500,45302,-20104.97,89819.1,BATCH-2026-STAT-123,Invoice · STAT 123
2026-02-28,B,Remit Cash,43500,13101,11730,101549.1,BATCH-2026-STAT-123,Crd Note · STAT 123
2026-02-28,B,Remit Cash,43500,45666,-25831.19,75717.91,BATCH-2026-STAT-123,Invoice · STAT 123
2026-02-28,B,Remit Cash,43500,45986,-27559.27,48158.64,BATCH-2026-STAT-123,Invoice · STAT 123
2026-02-28,B,Remit Cash,43500,46470,-32866.71,15291.93,BATCH-2026-STAT-123,Invoice · STAT 123
2026-02-28,B,Remit Cash,43500,46762,-11091.26,4200.67,BATCH-2026-STAT-123,Invoice · STAT 123
2026-02-28,B,Remit Cash,43500,13235,16215,20415.67,BATCH-2026-STAT-123,Crd Note · STAT 123
2026-02-28,B,Remit Cash,43500,13335,16905,37320.67,BATCH-2026-STAT-123,Crd Note · STAT 123
2026-02-28,B,Remit Cash,43500,13500,10350,47670.67,BATCH-2026-STAT-123,Crd Note · STAT 123
2026-02-28,B,Remit Cash,43500,13587,7245,54915.67,BATCH-2026-STAT-123,Crd Note · STAT 123
2026-02-28,B,Remit Cash,43500,13500,10350,65265.67,BATCH-2026-STAT-123,Crd Note · STAT 123
2026-02-28,B,Remit Cash,43500,47196,-36631.64,28634.03,BATCH-2026-STAT-123,Invoice · STAT 123
2026-02-28,B,Remit Cash,43500,13716,9315,37949.03,BATCH-2026-STAT-123,Crd Note · STAT 123
2026-02-28,B,Remit Cash,43500,10,6900,44849.03,BATCH-2026-STAT-123,Crd Note · STAT 123
2026-02-28,B,Remit Cash,43500,47714,-24390.86,20458.17,BATCH-2026-STAT-123,Invoice · STAT 123
2026-02-28,B,Remit Cash,43500,13874,15870,36328.17,BATCH-2026-STAT-123,Crd Note · STAT 123
2026-02-28,B,Remit Cash,43500,48160,-24336.02,11992.15,BATCH-2026-STAT-123,Invoice · STAT 123
2026-02-28,B,Remit Cash,43500,48687,-35150.03,-23157.88,BATCH-2026-STAT-123,Invoice · STAT 123
2026-02-28,B,Remit Cash,43500,14237,22770,-387.88,BATCH-2026-STAT-123,Crd Note · STAT 123
2026-02-28,B,Remit Cash,43500,14034,15180,14792.12,BATCH-2026-STAT-123,Crd Note · STAT 123
2026-03-06,A,Invoice,49606,49606,23457.21,38249.33,,DN#21950 · TWK AGRI PTY LTD
2026-03-07,A,Crd Note,14554,14554,-15180,23069.33,,DN#21950 · TWK AGRI PTY LTD
2026-03-24,A,Invoice,49882,49882,23348.97,46418.3,,DN-21976 · TWK AGRI PTY LTD
2026-03-25,A,Crd Note,14649,14649,-14490,31928.3,,DN-21976 · TWK AGRI PTY LTD
2026-04-06,A,Invoice,50099,50099,22982.66,54910.96,,DN-22046 · TWK AGRI PTY LTD
2026-04-07,A,Crd Note,14711,14711,-13972.5,40938.46,,DN-22046 · TWK AGRI PTY LTD
2026-04-29,A,Invoice,50439,50439,5300.12,46238.58,,DN-21880 · TWK AGRI PTY LTD
2026-04-29,A,Invoice,50440,50440,10350,56588.58,,DN-21880-EMPTY · TWK AGRI PTY LTD
2026-04-30,A,Crd Note,14820,14820,-10350,46238.58,,DN-21880-EMPTY · TWK AGRI PTY LTD
2026-05-14,A,Invoice,50680,50680,16387.95,62626.53,,DN#22709 · TWK AGRI PTY LTD
2026-05-15,A,Crd Note,14910,14910,-9142.5,53484.03,,DN#22709 · TWK AGRI PTY LTD
2026-05-27,A,Invoice,50898,50898,20332.95,73816.98,,DN#22761 · TWK AGRI PTY LTD
2026-05-28,A,Crd Note,14982,14982,-11385,62431.98,,DN#22761 · TWK AGRI PTY LTD
2026-06-12,A,Invoice,51180,51180,29721.98,92153.96,,DN#22798 · TWK AGRI PTY LTD
2026-06-15,A,Crd Note,15063,15063,-29721.98,62431.98,,DN#22798 · TWK AGRI PTY LTD
2026-06-15,A,Crd Note,15070,15070,-17250,45181.98,,DN#22904-EMPTY · TWK AGRI PTY LTD
2026-06-15,A,Invoice,51226,51226,12471.98,57653.96,,DN#22904 · TWK AGRI PTY LTD
2026-06-15,A,Invoice,51227,51227,17250,74903.96,,DN#22904-EMPTY · TWK AGRI PTY LTD
2026-07-01,A,Crd Note,15155,15155,-17250,57653.96,,DN#22534 · TWK AGRI PTY LTD
2026-07-01,A,Invoice,51496,51496,29721.98,87375.94,,DN#22534 · TWK AGRI PTY LTD
2026-07-15,A,Crd Note,15262,15262,-14835,72540.94,,DN#22576 · TWK AGRI PTY LTD
2026-07-15,A,Invoice,51841,51841,24442.49,96983.43,,DN#22576 · TWK AGRI PTY LTD
2026-07-31,A,Invoice,52241,52241,34052.09,131035.52,,DN#24229 · TWK AGRI PTY LTD
2026-08-01,A,Crd Note,15370,15370,-19665,111370.52,,DN#24229 · TWK AGRI PTY LTD
2026-08-12,A,Crd Note,15443,15443,-11040,100330.52,,DN#23954 · TWK AGRI PTY LTD
2026-08-12,A,Invoice,52484,52484,18138.84,118469.36,,DN#23954 · TWK AGRI PTY LTD
2026-08-26,A,Crd Note,15553,15553,-17077.5,101391.86,,DN#24938 · TWK AGRI PTY LTD
2026-08-26,A,Invoice,52803,52803,28392.35,129784.21,,DN#24938 · TWK AGRI PTY LTD
2026-08-31,B,Remit Cash,45899,14414,22195,151979.21,BATCH-2026-STAT-129,Crd Note · STAT 129
2026-08-31,B,Remit Cash,45899,14554,15180,167159.21,BATCH-2026-STAT-129,Crd Note · STAT 129
2026-08-31,B,Remit Cash,45899,14649,14490,181649.21,BATCH-2026-STAT-129,Crd Note · STAT 129
2026-08-31,B,Remit Cash,45899,14711,13972.5,195621.71,BATCH-2026-STAT-129,Crd Note · STAT 129
2026-08-31,B,Remit Cash,45899,14910,9142.5,204764.21,BATCH-2026-STAT-129,Crd Note · STAT 129
2026-08-31,B,Remit Cash,45899,14982,11385,216149.21,BATCH-2026-STAT-129,Crd Note · STAT 129
2026-08-31,B,Remit Cash,45899,15155,16818.75,232967.96,BATCH-2026-STAT-129,Crd Note · STAT 129
2026-08-31,B,Remit Cash,45899,15370,19173.37,252141.33,BATCH-2026-STAT-129,Crd Note · STAT 129
2026-08-31,B,Remit Cash,45899,15262,14464.12,266605.45,BATCH-2026-STAT-129,Crd Note · STAT 129
2026-08-31,B,Remit Cash,45899,49208,-35663.47,230941.98,BATCH-2026-STAT-129,Invoice · STAT 129
2026-08-31,B,Remit Cash,45899,49606,-23457.21,207484.77,BATCH-2026-STAT-129,Invoice · STAT 129
2026-08-31,B,Remit Cash,45899,49882,-23348.97,184135.8,BATCH-2026-STAT-129,Invoice · STAT 129
2026-08-31,B,Remit Cash,45899,50099,-22982.66,161153.14,BATCH-2026-STAT-129,Invoice · STAT 129
2026-08-31,B,Remit Cash,45899,50439,-5300.12,155853.02,BATCH-2026-STAT-129,Invoice · STAT 129
2026-08-31,B,Remit Cash,45899,50680,-16387.95,139465.07,BATCH-2026-STAT-129,Invoice · STAT 129
2026-08-31,B,Remit Cash,45899,50898,-20332.95,119132.12,BATCH-2026-STAT-129,Invoice · STAT 129
2026-08-31,B,Remit Cash,45899,51226,-12160.18,106971.94,BATCH-2026-STAT-129,Invoice · STAT 129
2026-08-31,B,Remit Cash,45899,51496,-28978.93,77993.01,BATCH-2026-STAT-129,Invoice · STAT 129
2026-08-31,B,Remit Cash,45899,51841,-4036.5,73956.51,BATCH-2026-STAT-129,Invoice · STAT 129
2026-08-31,B,Remit Cash,45899,51841,-19794.93,54161.58,BATCH-2026-STAT-129,Invoice · STAT 129
2026-08-31,B,Remit Cash,45899,52241,-33200.79,20960.79,BATCH-2026-STAT-129,Invoice · STAT 129
2026-08-31,C,Discount Journal,DJ-BATCH-2026-STAT-129,DJ-BATCH-2026-STAT-129,-1223.45,19737.34,BATCH-2026-STAT-129,Model B pro forma — Dr 240000 / Cr TWK002
